Entry Name,Date Range,Entry ID,Cell Line/Genotype,Media Change Log,Experiments Performed,Notes
"20240603EB_MN (WT-11, 5319, 4517; DPR, qPCR)",2024-06-03 - 2024-07-29,etr_2Ksb4Ymb,"WT-11, 5319, 4517",6/3 T2 start; T2->T3; T3->T4; T4->T5; T5->T6; T6->T6; T6->T7 (dates approx 6/3-6/17); 6/18 T7 (+virus)/BP T8 start; 6/18-6/27 BP T8 volume increases (400->500uL),"6/28 DPR imaging (PR30/GR30/GP30 drugs, spinning disk, ND sequencing, SirDNA) on PLATE A; ~6/27-6/28 RNA extraction/freeze on PLATE B (hypo 1h/24h treatment); 7/17 RNA extraction (PureLink) and RT-qPCR (ELAV3, PFKP, STMN2, GAPDH, ACTB) on 5319/4517 hypo samples; 7/29 additional qPCR run (WT-11 hypo samples)","Genotyping/passage: WT-11 P14+18, 5319, 4517 (labeled 4157 in one spot, likely typo for 4517); vLH92 virus used; combined plates with Anouk's; DPR = dipeptide repeat treatment (PR30/GR30/GP30)"
"20240610EB_MN (TDP43, qPCR)",2024-06-10 - 2024-07-18,etr_DZCqYUOa,"WT-11, 5319, 4517",6/10 T2 start; T2->T3; T3->T4; T4->T5; T5->T6; T6->T6; T6->T7 (approx 6/10-6/24); 6/26 T7->BP T8 (+vLH92 virus on PLATE A); 6/26-6/28 BP T8 volume 400->500uL,"6/26 hypo media treatment (row A 700uL at 5:35pm) on PLATE B; 6/28 PLATE B row B hypo treatment, wash/freeze cells for RNA; PLATE A TDP-43 localization imaging with SirDNA, Importazole and Verdinexor drug treatments (spinning disk, ND sequencing); 7/18 RNA extraction (PureLink, 5319/4517), RT and qPCR (done together with 0603MN entry)",PLATE A = WT-11 for TDP-43 localization (+vLH92); PLATE B = RNA extraction (5319/4517 hypo conditions); companion/paired batch to 20240603 entry for qPCR
20240617EB_MN (DPR),2024-06-17 - 2024-07-12,etr_aF5Wn8xw,WT-11,6/17 T2 start (all 6 wells); T2->T3; T3->T4; T4->T5; T5->T6; T6->T6; T6->T7 (approx 6/17-7/1); 7/2 T7->T7 (+virus 110/111); 7/3 T7->BP T8; 7/3-7/8 BP T8 volume 400->500uL,"7/10 DPR imaging (PR30/GR30/GP30 drugs, spinning disk confocal, ND sequencing, sequential group1/group2 treatment-imaging)","WT-11 only, P34; 400K cells/8 wells with 14uL virus (110 or 111) per 4 wells"
20240624EB_MN (TDP43),2024-06-24 - 2024-07-19,etr_KG0UskFC,not specified,6/24 T2 start; T2->T3; T3->T4; T4->T5; T5->T6; T6->T6; T6->T7 (approx 6/24-7/8); 7/10 T7->T7 (if virus added); 7/10 T7->BP T8; 7/10-7/15 BP T8 volume increases (350/400->500uL),No specific assay/imaging steps recorded beyond media changes through 7/19; entry appears to end at media maintenance (protocol likely continues in a linked/companion entry),Minimal detail entry - largely a media-change log; no experiment section filled in
"20240812EB_MN WT-11 (DPR, hypo-glu-rescue)",2024-08-12 - 2024-09-06,etr_LVE9YMTK,WT-11,8/12 T2 start; T2->T3; T3->T4; T4->T5; T5->T6; T6->T6; T6->T7 (approx 8/12-8/26); 8/27 T7->T7 (+virus 110/111); 8/29 T7->BP T8; 8/29-9/2 BP T8 volume 400->500uL,"9/4-9/5 hypo-glucose (0.15mM) rescue treatment on C2 and C4 (1h hypo then back to BP T8); 9/6 conditions plate set up: NT/PR30/GR30/GP30 1uM, hypo 1h, hypo 1h + 24h rescue",WT-11 (NYU92) P13; DPR drugs (PR30/GR30/GP30) and hypoglycemia-rescue conditions tested
"20240819EB_MN (NCT, TDP43)",2024-08-19 - 2024-09-11,etr_7QRw2YPj,WT-11,"8/19 T2 start; T2->T3; T3->T4; T4->T5; T5->T6; T6->T6; T6->T6 (approx 8/19-9/3); 9/4 T7->T7 (row A-B Well1, no virus) / T7->BP T8 (rest); 9/4-9/9 BP T8 volume 400->500uL; 9/11 BP T8 volume maintenance",No explicit imaging/assay steps recorded beyond media changes (NCT/TDP43 experiments implied by title but not detailed in extracted text through 9/11),WT-11 P19; virus 110/111 (15uL each); no virus condition also included
"20240826EB_MN (GEM, TDP43, viability, ATP/ADP)",2024-08-26 - 2024-09-18,etr_bm5I3376,WT-11,8/26 T2 start; T2->T3; T3->T4; T4->T5; T5->T6; T6->T6; T6->T7 (approx 8/26-9/9); 9/10 T7->T7 (if virus)/T7->BP T8; 9/10-9/13 BP T8 volume 400->500uL,"9/16-9/18 stress/rescue assay: BP vs hypo 1h vs hypo 24h conditions with 1h and 24h rescue; GEM imaging (cytoGEM, vLH51 GEM sensor); IF; viability and ATP/ADP + TDP43 assays (rescue performed in the same wells)",WT-11 (NYU92) P14; conditions: BP/hypo1h/hypo24h with stress and 24h rescue; combined GEM/IF/viability/ATP-ADP/TDP43 readouts
20240903EB_MN (nuclear-cyto-extraction),2024-09-03 - 2024-09-25,etr_tSWU7PGZ,not specified,9/3 T2 start; T2->T3; T3->T4; T4->T5; T5->T6; T6->T6; T6->T7 (approx 9/3-9/17); 9/18 T7->T7 (Plate A row A/B) / T7->BP T8 (if no virus); 9/18-9/20 BP T8 volume 400->500uL,"9/17-9/18 Plate A/B drug and hypo/rescue treatments (BP, hypo 1h, hypo1h+1h rescue, hypo1h+24h rescue, BP+IPZ (Importazole), hypo+Verdinexor 150nM 3h); 9/23-9/25 nuclear/cytoplasmic protein extraction (NE-PER kit) on treated cells for downstream analysis",virus 110/111 used on Plate A; multiple hypo/rescue/drug conditions across Plate A and B; nuclear vs cytoplasmic fractionation performed
20240909EB_MN (solubility),2024-09-09 - 2024-10-04,etr_yPOYIytM,not specified,9/9 T2 start; T2->T3; T3->T4; T4->T5; T5->T6; T6->T6; T6->T7 (approx 9/9-9/23); 9/25 T7->BP T8; 9/25-9/27 BP T8 volume 400->500uL,9/25-9/27 hypo (0.15mM) treatment with BP/hypo 1h/hypo 24h conditions plus 24h rescue variants; ~9/30-10/4 soluble/insoluble protein extraction (RIPA/Urea fractionation) and Western blot for TDP-43 and TUBB3,Note: mistake made in condition A3 (should have been changed to hypo but wasn't); insoluble pellet difficult to resuspend/break down in Urea+DTT; protein stored at -80C for blotting
20241028EB_MN (qPCR),2024-10-28 - 2024-11-20,etr_GYV4co2n,not specified,10/28 T2 start; T2->T3; T3->T4; T4->T5; T5->T6; T6->T6; T6->T7 (approx 10/28-11/11); 11/13 T7->BP T8; 11/13-11/18 BP T8 volume 400->500uL,"11/13-11/18 hypo dose/time-course conditions set up (2.5mM 1h, 0.15mM 1h, 0.15mM 24h, each ± 24h rescue) for qPCR; 11/20 B3 treated with hypo (time noted as illegible/'aou')",Note: cell plating into 2 tubes 'did not work very well'; one full 6-well plate plated specifically for qPCR
